Temperature (°C),pH,Dissolved O2 (mg/L),BOD (mg/L),Conductivity (µS/cm),Salinity (ppt),Nitrate-N Concentration (mg/L),Bioremediating Organism
25.76,7.29,8.92,4.68,640.28,0.77,22.96,Acinetobacter baumannii
27.1,6.72,11.37,3.27,552.38,4.12,7.16,Ideonella sakaiensis
29.39,7.14,13.36,5.89,452.47,4.94,4.45,Ideonella sakaiensis
20.46,7.17,7.78,1.48,365.18,3.9,13.25,Pseudomonas putida
24.27,7.38,11.18,3.27,254.94,4.04,8.84,Ideonella sakaiensis
28.78,8.24,6.28,7.45,601.86,1.42,22.21,Pseudomonas aeruginosa
26.45,7.48,12.79,7.44,228.51,4.44,1.02,Ideonella sakaiensis
22.27,7.44,8.51,7.43,823.42,1.07,32.67,Acinetobacter baumannii
23.96,6.74,12.35,4.2,493.66,4.38,13.39,Ideonella sakaiensis
27.23,7.03,10.21,5.88,330.14,4.52,19.31,Ideonella sakaiensis
21.08,7.22,6.45,11.68,174.61,0.56,13.8,Alcaligenes eutrophus
21.25,8.51,5.43,4.0,216.32,0.7,1.23,Alcaligenes eutrophus
29.28,8.41,11.71,12.72,321.88,0.44,14.85,Alcaligenes eutrophus
27.19,7.47,10.71,1.44,351.7,0.14,8.45,Alcaligenes eutrophus
26.79,7.3,8.6,4.61,548.34,0.16,20.68,Acinetobacter baumannii
23.88,7.2,9.58,7.29,176.21,2.65,16.03,Bacillus cereus
20.83,6.66,13.49,2.49,763.91,1.39,21.14,Acinetobacter baumannii
20.04,6.35,9.16,4.44,131.11,3.97,14.99,Pseudomonas putida
22.22,7.06,10.44,8.72,594.28,4.64,4.97,Ideonella sakaiensis
28.97,7.43,7.37,10.54,576.12,0.89,23.82,Pseudomonas aeruginosa
20.73,6.86,7.47,6.1,269.65,2.03,19.72,Bacillus cereus
22.19,6.96,8.19,6.37,282.67,4.76,19.36,Ideonella sakaiensis
26.15,7.59,7.69,4.6,733.0,0.8,27.67,Pseudomonas aeruginosa
22.93,7.83,6.61,3.09,266.33,2.64,12.49,Bacillus cereus
21.55,7.18,10.22,3.14,324.1,3.77,14.42,Pseudomonas putida
28.01,8.73,9.4,11.95,317.47,1.98,25.48,Pseudomonas aeruginosa
24.32,7.03,13.67,4.79,415.96,4.97,2.86,Ideonella sakaiensis
25.51,8.69,8.22,4.61,669.03,0.94,25.83,Pseudomonas aeruginosa
24.31,6.51,10.02,9.41,290.83,2.45,11.26,Bacillus cereus
25.44,7.97,5.4,14.0,236.36,0.37,11.05,Alcaligenes eutrophus
23.57,6.82,11.31,2.17,175.81,3.92,12.71,Pseudomonas putida
20.13,7.97,5.9,10.25,563.72,0.25,13.0,Alcaligenes eutrophus
23.34,8.21,11.69,13.53,589.53,0.29,13.08,Alcaligenes eutrophus
21.64,6.67,11.43,4.78,791.05,1.65,19.4,Acinetobacter baumannii
26.51,8.74,6.6,3.89,644.2,0.89,6.58,Alcaligenes eutrophus
28.18,8.35,5.09,6.28,658.23,1.86,19.7,Pseudomonas aeruginosa
23.58,7.77,9.24,6.07,357.85,2.91,20.4,Bacillus cereus
29.2,7.4,5.03,13.75,306.58,0.3,25.24,Pseudomonas aeruginosa
26.01,8.36,9.3,5.81,526.07,0.34,13.18,Pseudomonas aeruginosa
27.03,6.79,10.18,4.53,448.35,1.54,19.44,Acinetobacter baumannii
24.46,7.11,13.9,3.92,489.96,1.23,15.38,Acinetobacter baumannii
27.01,7.12,11.52,4.74,408.32,1.6,34.07,Acinetobacter baumannii
22.84,8.46,8.15,7.96,144.75,0.57,5.41,Alcaligenes eutrophus
22.74,7.38,7.43,3.57,260.69,3.81,13.15,Pseudomonas putida
24.18,6.6,11.02,7.1,479.57,1.26,33.84,Acinetobacter baumannii
21.95,7.12,7.94,7.67,335.4,2.52,18.77,Bacillus cereus
23.48,7.83,7.81,9.62,359.74,2.6,14.08,Bacillus cereus
28.56,8.91,6.69,3.33,249.73,0.28,0.42,Alcaligenes eutrophus
26.57,7.46,6.31,11.82,737.89,0.51,24.53,Pseudomonas aeruginosa
23.33,6.98,11.94,3.35,163.86,3.75,12.98,Pseudomonas putida
21.07,8.89,9.17,4.23,133.54,0.65,9.53,Alcaligenes eutrophus
27.25,6.57,10.76,6.66,450.55,0.5,22.81,Acinetobacter baumannii
22.92,6.98,8.39,7.34,463.53,1.13,29.26,Acinetobacter baumannii
21.12,7.44,7.31,5.4,450.73,2.54,20.66,Bacillus cereus
22.16,6.57,11.15,1.57,381.5,3.81,14.45,Pseudomonas putida
24.6,6.87,9.8,5.66,361.96,2.77,23.55,Bacillus cereus
23.9,7.51,6.35,4.0,231.28,2.71,24.29,Bacillus cereus
24.82,6.68,8.39,4.14,391.74,4.93,1.48,Ideonella sakaiensis
21.42,7.46,8.42,5.19,118.05,0.69,1.49,Alcaligenes eutrophus
27.95,6.98,12.18,5.93,445.85,2.35,30.01,Acinetobacter baumannii
23.33,8.52,6.66,11.59,121.1,0.44,10.74,Alcaligenes eutrophus
29.13,7.4,8.68,12.65,379.22,0.57,12.69,Alcaligenes eutrophus
27.9,7.28,11.85,2.96,458.15,0.86,35.65,Acinetobacter baumannii
20.78,7.25,11.04,3.64,288.97,3.64,12.95,Pseudomonas putida
23.96,7.41,13.02,2.98,951.86,0.35,24.18,Acinetobacter baumannii
22.35,6.55,9.73,4.96,329.89,4.02,19.57,Ideonella sakaiensis
25.21,8.42,6.54,14.45,535.08,0.09,18.69,Pseudomonas aeruginosa
26.55,6.5,9.36,3.35,502.21,4.18,13.81,Ideonella sakaiensis
20.63,6.54,8.24,6.85,350.75,4.55,12.84,Ideonella sakaiensis
22.84,6.71,10.14,3.13,821.06,1.32,28.52,Acinetobacter baumannii
27.81,7.42,7.93,9.81,792.68,1.25,10.92,Pseudomonas aeruginosa
23.61,6.8,8.21,3.46,477.56,2.16,7.49,Bacillus cereus
27.92,8.44,5.71,12.11,795.76,1.19,27.92,Pseudomonas aeruginosa
21.79,6.56,10.82,9.56,235.6,4.9,0.07,Ideonella sakaiensis
23.9,7.17,10.43,4.46,425.84,2.03,30.7,Acinetobacter baumannii
20.61,7.34,11.93,8.36,260.53,4.11,10.78,Ideonella sakaiensis
25.0,6.49,7.65,3.16,301.54,3.63,14.63,Pseudomonas putida
24.64,7.16,9.18,6.29,367.97,2.66,10.41,Bacillus cereus
20.54,7.35,8.24,3.64,188.31,3.9,12.32,Pseudomonas putida
26.83,6.72,12.85,5.59,895.89,2.22,30.86,Acinetobacter baumannii
29.93,8.21,7.74,5.68,393.24,0.85,11.07,Pseudomonas aeruginosa
29.07,8.84,6.28,10.72,426.95,1.51,17.52,Pseudomonas aeruginosa
26.61,8.41,5.19,4.05,351.92,0.91,22.63,Pseudomonas aeruginosa
26.93,7.74,9.41,8.24,665.65,0.87,26.37,Pseudomonas aeruginosa
24.42,7.34,7.82,4.09,302.04,2.68,16.3,Bacillus cereus
29.87,7.44,5.03,7.94,627.95,0.39,28.99,Pseudomonas aeruginosa
23.22,6.52,10.75,7.66,757.71,1.8,28.11,Acinetobacter baumannii
24.25,7.41,6.93,4.31,223.42,2.8,16.5,Bacillus cereus
23.26,7.2,10.84,1.27,290.44,3.71,13.76,Pseudomonas putida
25.57,7.46,7.74,13.6,574.63,1.49,17.15,Pseudomonas aeruginosa
24.6,6.92,13.54,2.18,563.57,0.49,16.31,Acinetobacter baumannii
28.93,8.37,7.7,6.51,638.97,1.3,28.08,Pseudomonas aeruginosa
24.9,7.25,10.76,7.8,804.95,2.29,30.53,Acinetobacter baumannii
26.59,6.98,12.86,4.34,603.26,0.16,31.62,Acinetobacter baumannii
20.68,6.5,9.73,4.82,304.93,3.61,12.92,Pseudomonas putida
25.97,7.34,12.73,5.07,631.38,2.36,34.28,Acinetobacter baumannii
22.35,6.78,11.45,2.23,391.88,4.18,9.8,Ideonella sakaiensis
23.87,6.14,9.41,1.34,131.86,3.84,14.52,Pseudomonas putida
27.55,6.58,11.78,3.31,297.68,4.75,15.61,Ideonella sakaiensis
22.63,7.7,6.64,8.87,240.87,2.49,10.5,Bacillus cereus
24.82,7.04,11.76,4.02,220.32,4.84,4.61,Ideonella sakaiensis
21.45,7.85,8.49,4.28,262.13,2.73,21.58,Bacillus cereus
22.73,6.98,10.09,5.75,647.5,1.48,27.23,Acinetobacter baumannii
28.07,8.2,8.07,3.22,297.47,0.45,6.85,Alcaligenes eutrophus
20.45,8.24,11.84,3.25,681.17,0.43,3.2,Alcaligenes eutrophus
21.29,6.92,9.86,3.71,260.2,3.65,12.21,Pseudomonas putida
20.6,7.78,10.29,6.53,484.67,2.66,9.73,Bacillus cereus
23.98,6.92,12.77,8.92,266.43,4.65,6.25,Ideonella sakaiensis
22.7,6.57,10.54,3.49,481.14,2.52,16.82,Bacillus cereus
26.51,6.86,9.97,7.73,773.37,1.6,23.39,Acinetobacter baumannii
27.77,7.1,13.76,5.71,871.46,1.42,18.63,Acinetobacter baumannii
23.37,6.06,7.25,2.66,147.02,3.75,13.33,Pseudomonas putida
29.38,7.29,8.37,8.5,424.51,0.15,18.23,Pseudomonas aeruginosa
20.78,7.35,13.08,5.25,449.25,1.68,29.68,Acinetobacter baumannii
25.5,6.84,8.9,4.04,554.78,4.82,4.36,Ideonella sakaiensis
21.45,6.1,10.6,4.68,366.29,3.93,14.21,Pseudomonas putida
26.42,7.62,6.66,4.4,300.7,0.84,23.63,Pseudomonas aeruginosa
22.2,7.48,8.59,7.21,390.23,2.33,6.83,Bacillus cereus
21.19,6.57,8.17,3.65,386.85,3.71,12.45,Pseudomonas putida
21.09,7.02,8.61,3.61,484.41,2.14,19.4,Bacillus cereus
21.03,6.33,8.96,4.06,189.46,3.91,13.53,Pseudomonas putida
24.87,8.23,10.66,9.24,681.55,0.83,0.43,Alcaligenes eutrophus
24.52,6.71,9.89,2.21,281.61,4.65,11.36,Ideonella sakaiensis
29.6,8.62,5.75,5.42,354.14,0.38,18.17,Pseudomonas aeruginosa
24.55,7.25,8.74,3.95,295.53,3.8,12.17,Pseudomonas putida
28.57,8.67,6.03,4.05,172.62,0.32,1.06,Alcaligenes eutrophus
21.05,7.0,8.87,1.27,258.78,3.67,13.77,Pseudomonas putida
20.41,6.75,8.59,9.02,201.37,2.87,13.63,Bacillus cereus
23.02,7.01,8.84,4.3,984.0,1.96,21.49,Acinetobacter baumannii
26.24,6.57,8.73,4.05,491.27,4.24,10.28,Ideonella sakaiensis
25.29,8.87,9.46,14.07,457.85,0.17,12.85,Alcaligenes eutrophus
22.58,7.85,8.39,8.88,489.09,2.71,20.16,Bacillus cereus
22.04,7.35,12.49,7.76,536.68,2.15,37.01,Acinetobacter baumannii
26.66,7.46,10.47,6.81,918.29,2.38,17.73,Acinetobacter baumannii
22.25,6.92,12.54,5.81,515.95,4.14,14.62,Ideonella sakaiensis
25.32,8.08,11.99,4.79,345.4,0.44,5.23,Alcaligenes eutrophus
21.24,7.12,8.7,7.18,508.72,0.19,30.06,Acinetobacter baumannii
23.44,6.88,10.64,3.44,478.32,2.08,11.89,Bacillus cereus
25.88,8.65,6.94,13.5,723.24,1.22,18.48,Pseudomonas aeruginosa
27.53,7.83,9.11,9.44,339.79,1.38,28.02,Pseudomonas aeruginosa
21.58,6.89,10.85,3.31,256.68,3.55,12.29,Pseudomonas putida
28.84,7.15,9.02,11.08,464.68,0.46,18.1,Pseudomonas aeruginosa
22.62,6.77,9.14,3.34,394.72,4.79,7.31,Ideonella sakaiensis
25.09,7.03,7.59,5.3,401.96,0.91,20.62,Pseudomonas aeruginosa
20.89,7.69,11.74,9.95,245.94,0.57,9.8,Alcaligenes eutrophus
20.32,6.82,8.15,7.35,242.17,2.71,20.39,Bacillus cereus
21.72,6.81,10.59,2.95,323.51,3.91,14.45,Pseudomonas putida
28.43,8.07,11.6,4.85,438.56,0.07,3.38,Alcaligenes eutrophus
24.95,6.45,7.48,1.86,282.17,3.59,13.81,Pseudomonas putida
27.1,6.7,12.57,2.37,458.21,0.26,17.51,Acinetobacter baumannii
29.59,7.11,9.1,8.17,454.51,4.84,12.54,Ideonella sakaiensis
21.55,7.18,8.35,9.79,188.88,2.74,18.55,Bacillus cereus
29.65,8.65,5.3,4.11,429.64,1.0,28.29,Pseudomonas aeruginosa
24.49,7.8,11.3,12.36,472.64,0.38,14.29,Alcaligenes eutrophus
25.02,7.31,9.01,8.61,503.76,4.9,1.53,Ideonella sakaiensis
27.46,7.05,10.33,9.68,535.68,4.0,4.6,Ideonella sakaiensis
28.4,7.46,8.87,2.26,552.59,4.75,5.94,Ideonella sakaiensis
28.15,8.51,11.86,10.27,128.47,0.58,10.6,Alcaligenes eutrophus
27.32,7.78,8.94,9.52,627.76,0.24,18.02,Pseudomonas aeruginosa
29.93,8.48,6.38,4.43,679.04,0.88,22.73,Pseudomonas aeruginosa
22.93,6.5,11.14,6.37,228.82,4.27,0.17,Ideonella sakaiensis
29.03,7.35,10.03,9.51,344.3,0.22,3.16,Alcaligenes eutrophus
21.83,7.28,7.87,9.68,213.7,2.52,18.5,Bacillus cereus
21.29,7.72,8.34,8.15,216.95,2.65,22.67,Bacillus cereus
23.84,6.05,11.3,2.24,228.5,3.68,14.42,Pseudomonas putida
20.71,6.77,11.18,2.68,307.09,3.57,12.3,Pseudomonas putida
27.52,7.2,6.12,1.37,118.58,0.7,2.45,Alcaligenes eutrophus
20.85,6.64,6.53,7.68,281.51,2.93,24.4,Bacillus cereus
20.69,7.12,9.5,5.53,369.9,2.7,10.76,Bacillus cereus
26.21,7.77,7.47,6.71,498.28,1.81,14.3,Pseudomonas aeruginosa
27.47,8.42,9.01,13.88,179.78,0.78,11.3,Alcaligenes eutrophus
23.06,6.79,10.98,4.0,297.23,2.68,20.85,Bacillus cereus
27.62,6.95,10.66,2.36,647.89,1.53,21.3,Acinetobacter baumannii
26.67,8.78,6.82,9.65,141.3,0.57,9.57,Alcaligenes eutrophus
29.23,8.77,9.33,13.29,231.04,0.68,13.33,Alcaligenes eutrophus
21.01,6.73,12.85,3.98,832.05,2.4,29.88,Acinetobacter baumannii
29.41,8.04,5.43,8.24,382.31,1.01,17.37,Pseudomonas aeruginosa
22.83,7.21,6.59,7.2,257.09,2.2,11.07,Bacillus cereus
24.45,6.73,6.36,3.55,292.5,2.24,12.69,Bacillus cereus
21.16,6.59,6.37,8.77,408.97,2.64,7.47,Bacillus cereus
27.26,7.78,11.78,1.99,324.06,0.06,3.49,Alcaligenes eutrophus
28.46,8.66,9.3,9.37,638.36,0.42,28.27,Pseudomonas aeruginosa
29.05,8.93,8.09,12.84,379.17,1.73,24.28,Pseudomonas aeruginosa
27.71,7.0,8.49,13.74,462.02,0.33,18.74,Pseudomonas aeruginosa
25.45,7.12,6.27,5.53,624.3,0.92,23.09,Pseudomonas aeruginosa
28.91,8.7,6.82,14.96,659.04,0.69,11.96,Alcaligenes eutrophus
27.45,8.57,8.93,4.7,622.86,1.02,22.95,Pseudomonas aeruginosa
22.83,6.71,10.86,6.51,375.48,4.11,0.54,Ideonella sakaiensis
25.18,6.69,9.19,5.2,203.77,4.27,1.24,Ideonella sakaiensis
20.6,7.03,8.22,14.85,347.63,0.73,10.23,Alcaligenes eutrophus
26.83,7.12,13.57,7.53,549.03,1.39,17.4,Acinetobacter baumannii
21.55,7.7,7.97,6.66,193.19,2.13,23.3,Bacillus cereus
21.46,7.05,10.35,3.09,450.93,2.16,19.06,Bacillus cereus
21.01,6.93,12.77,4.89,307.49,4.52,7.41,Ideonella sakaiensis
22.35,7.45,8.38,6.32,459.2,4.74,17.28,Ideonella sakaiensis
29.67,6.57,13.74,2.2,313.7,4.05,1.14,Ideonella sakaiensis
27.52,7.14,10.3,2.87,281.97,4.21,9.54,Ideonella sakaiensis
22.74,7.53,9.0,9.42,213.57,2.84,7.85,Bacillus cereus
24.27,7.4,9.06,9.83,275.68,2.0,5.43,Bacillus cereus
22.32,6.39,7.16,3.69,390.12,4.0,14.04,Pseudomonas putida
22.63,7.49,10.25,5.23,505.58,4.14,0.54,Ideonella sakaiensis
25.76,8.43,7.83,6.33,375.16,0.47,0.16,Alcaligenes eutrophus
21.5,7.8,8.44,5.03,436.39,2.52,22.55,Bacillus cereus
26.76,7.52,5.91,5.55,603.25,0.11,24.52,Pseudomonas aeruginosa
23.63,6.9,8.3,2.39,382.17,3.66,12.21,Pseudomonas putida
20.51,7.34,11.76,2.13,133.33,3.55,12.72,Pseudomonas putida
22.14,7.27,8.91,9.19,440.52,2.94,19.8,Bacillus cereus
25.94,7.86,8.65,9.28,670.69,1.63,26.0,Pseudomonas aeruginosa
24.13,8.0,6.4,8.54,389.52,2.86,16.97,Bacillus cereus
29.88,7.0,9.08,14.51,552.0,0.16,20.99,Pseudomonas aeruginosa
26.9,7.95,6.39,10.06,404.02,0.38,10.81,Alcaligenes eutrophus
20.56,7.18,9.07,4.89,464.2,2.59,24.03,Bacillus cereus
21.45,6.68,8.38,7.38,497.29,0.73,32.69,Acinetobacter baumannii
21.88,7.06,8.25,5.39,723.97,0.08,37.4,Acinetobacter baumannii
21.14,6.58,10.65,6.38,348.45,2.41,13.96,Bacillus cereus
26.36,7.61,7.44,12.27,598.59,0.89,10.85,Alcaligenes eutrophus
27.84,7.25,13.78,5.58,503.02,1.93,38.65,Acinetobacter baumannii
26.19,8.49,6.33,9.82,300.32,0.53,16.72,Pseudomonas aeruginosa
27.49,7.53,7.49,14.18,364.58,0.62,12.74,Alcaligenes eutrophus
20.15,7.69,7.56,9.44,349.93,2.57,21.74,Bacillus cereus
29.63,8.96,5.44,12.6,604.33,0.56,29.8,Pseudomonas aeruginosa
23.12,6.78,13.06,4.58,892.63,1.65,33.36,Acinetobacter baumannii
29.58,8.4,9.03,7.08,302.36,1.03,28.87,Pseudomonas aeruginosa
26.57,7.11,12.44,5.18,624.62,2.03,20.24,Acinetobacter baumannii
22.8,7.26,7.9,1.87,138.65,3.99,13.04,Pseudomonas putida
29.98,7.42,6.14,10.59,799.21,1.15,28.86,Pseudomonas aeruginosa
26.89,6.78,9.98,2.53,458.53,1.57,32.76,Acinetobacter baumannii
24.48,7.21,8.32,5.13,426.25,1.04,34.91,Acinetobacter baumannii
20.96,6.6,12.85,7.02,298.66,4.95,10.18,Ideonella sakaiensis
21.31,6.7,8.39,2.72,470.34,0.05,26.58,Acinetobacter baumannii
20.37,6.66,10.77,6.78,410.01,2.92,24.62,Bacillus cereus
20.35,6.72,9.25,3.68,485.78,2.38,21.62,Bacillus cereus
20.66,6.81,10.8,2.92,209.87,4.43,1.96,Ideonella sakaiensis
26.64,6.76,10.81,5.68,703.25,1.54,15.97,Acinetobacter baumannii
23.98,7.57,8.65,5.66,333.76,2.65,7.87,Bacillus cereus
28.38,7.13,7.86,10.0,338.59,0.91,9.97,Alcaligenes eutrophus
29.85,6.51,9.76,6.36,431.96,4.86,3.21,Ideonella sakaiensis
20.39,6.97,6.09,9.58,322.76,2.47,24.71,Bacillus cereus
23.17,6.97,8.53,9.51,277.4,4.67,7.25,Ideonella sakaiensis
28.83,7.61,11.71,11.0,527.26,0.26,13.47,Alcaligenes eutrophus
24.35,6.8,9.05,4.42,402.51,2.85,6.83,Bacillus cereus
24.53,7.05,11.67,1.1,227.75,3.51,14.5,Pseudomonas putida
21.68,7.81,10.76,5.43,481.36,2.96,17.26,Bacillus cereus
23.09,6.28,11.2,2.74,222.47,3.69,13.67,Pseudomonas putida
25.46,6.94,9.74,6.98,497.74,4.28,0.16,Ideonella sakaiensis
24.05,7.19,10.98,6.7,758.94,0.92,33.47,Acinetobacter baumannii
20.89,6.88,10.12,2.31,338.2,4.45,3.69,Ideonella sakaiensis
24.66,6.65,9.3,4.48,247.02,3.99,14.79,Pseudomonas putida
26.99,7.49,11.94,6.4,647.27,2.31,17.9,Acinetobacter baumannii
26.04,7.45,8.62,5.03,443.89,4.54,15.94,Ideonella sakaiensis
21.89,6.69,11.67,6.77,809.92,0.13,26.8,Acinetobacter baumannii
